Hostname,IP_Address,BGP_Configured
rAWCOcaa98,10.58.255.115,No
rAWCOcaa97,10.58.255.75,No
xAWGTgtm99,10.67.255.58,No
rAWECamb99,10.66.255.82,No
rAWECgub99,10.66.255.42,No
xALUSope09,10.84.255.133,No
rALUSchi102,10.134.255.102,No
rVLUSrlc02,10.4.255.1,No
xAWUSrlc199,10.4.255.199,No
xAWUSrlc198,10.4.255.198,No
rALUSchi103,10.134.255.103,No
xALUSmed99,10.80.255.99,No
rALCAall100,10.44.255.33,No
xAWDRscr99,10.62.255.74,No
rALUSwkg06,10.49.255.76,No
rALPRcat06,10.60.255.29,No
rALUSash102,10.144.255.102,No
rALUSmaa07,10.48.255.7,No
rALPRgua06,10.60.255.36,No
rVLUSded02,10.10.255.21,No
xALECcue99,10.66.255.62,No
rALUSsdg06,10.50.5.6,No
rALUSyha06,10.21.255.4,No
rALCObgc06,10.58.255.212,No
rALBRcbr06,10.70.255.163,No
rALJPmig06,10.33.255.135,No
rALCNshb06,10.35.255.29,No
rALINbng06,10.38.255.199,No
rALNZcha06,10.37.255.93,No
rALAUsyd06,10.37.255.145,No
rALAUkur06,10.36.255.1,No
rALSGwoo06,10.34.255.13,No
rALAUolt03,10.36.255.28,No
rALSGsie102,10.160.255.102,No
rALCNkow06,10.38.255.23,No
rALSGsie103,10.160.255.103,No
rALJPtok102,10.161.255.102,No
rALJPtky06,10.32.180.30,No
rALINbgl07,10.40.255.137,No
rALCNtib06,10.41.255.133,No
rALBRspl04,10.70.255.70,No
rALKRyon06,10.39.255.73,No
rALCNshh102,10.162.255.102,No
rALTHbag06,10.34.255.93,No
rALJPtoo06,10.32.255.3,No
rALCNgua102,10.41.255.35,No
rALTHray06,10.38.176.6,No
rALTHraj06,10.34.255.131,No
rALMTsnw06,10.124.255.11,No
rALSElud07,10.224.255.7,No
rALBEbra07,10.98.255.198,No
rALITmed07,10.225.255.7,No
rALITmed06,10.225.255.6,No
rALDEfra103,10.119.232.103,No
rALDEfra102,10.119.255.102,No
rALFRmey07,10.226.255.7,No
rALITgro07,10.108.255.27,No
rALMTmar07,10.124.255.32,No
rALESsab07,10.109.255.69,No
rALDEhaw07,10.102.255.111,No
rALFRguc01,10.112.255.68,No
rALITson06,10.229.255.6,No
rALBEles07,10.101.255.7,No
rALIEcas07,10.111.255.20,No
rALDEhec07,10.227.255.7,No
rALDEhaw08,10.102.255.112,No
rALDEhec06,10.227.255.6,No
rALSElud06,10.224.255.6,No
rALFRmey06,10.226.255.6,No
rALDKsoo06,10.107.255.52,No
rAWCAall01,10.44.255.26,Yes
rAWCAall09,10.44.255.29,Yes
rAWPRcat02,10.60.255.28,Yes
rAWPRjay09,10.60.255.132,Yes
rAWPRaib09,10.60.255.25,Yes
rAWPRaib01,10.60.255.22,Yes
rAWPRjay01,10.60.255.38,Yes
rAWPRcat01,10.60.255.26,Yes
rAWPRgun02,10.60.255.18,Yes
rAWPRgua01,10.60.255.30,Yes
rAWPRgun01,10.60.255.21,Yes
rAWPRgua09,10.61.255.2,Yes
rAWDRscr01,10.62.255.8,Yes
rAWCOcaa01,10.58.255.26,Yes
rAWCOcaa02,10.58.255.8,Yes
rAWBRsac01,10.70.255.24,Yes
rAWCLsdc01,10.71.255.35,Yes
rAWBRsac09,10.70.255.114,Yes
rAWMXatl01,10.55.255.34,Yes
rAWCOcad01,10.59.255.32,Yes
rAWCOpee01,10.59.255.57,Yes
rAWCRhdr02,10.65.255.142,Yes
rAWCOtul01,10.59.255.62,Yes
rAWCOplm01,10.59.255.196,Yes
rAWCRhdr01,10.65.255.150,Yes
rAWMXchi01,10.55.255.66,Yes
rAWCOsni01,10.59.255.162,Yes
rAWCObtc01,10.59.255.216,Yes
rAWCOmli01,10.59.255.165,Yes
rAWMXmxc01,10.55.255.100,Yes
rAWCOocn01,10.59.255.183,Yes
rAWMXmxc09,10.55.255.104,Yes
rAWCOval01,10.59.255.64,Yes
rAWCOtol01,10.59.255.45,Yes
rAWCLsgi01,10.71.255.36,Yes
rAWCOclc01,10.59.255.36,Yes
rAWMXzap09,10.55.255.178,Yes
rAWMXzap01,10.55.255.176,Yes
rAWCObur01,10.59.255.24,Yes
rAWGTgua01,10.67.255.10,Yes
rAWPApam01,10.54.255.18,Yes
rAWMXmei09,10.55.255.74,Yes
rAWMXmei01,10.55.255.13,Yes
rAWGTgum01,10.67.255.50,Yes
rAWMXtij01,10.55.255.236,Yes
rAWPApan01,10.54.255.10,Yes
rAWCObon01,10.59.255.67,Yes
rAWMXtij09,10.55.255.238,Yes
rAWECquc01,10.66.255.20,Yes
rAWBRsap09,10.70.255.36,Yes
rAWBRsap01,10.70.255.34,Yes
rAWUSmaa01,10.48.255.1,Yes
rAWCRcaa01,10.65.255.6,Yes
rAWUSmaa09,10.48.255.3,Yes
rAWECgub01,10.66.255.40,Yes
rVLUSded01,10.128.252.194,Yes
rAWCRcaa09,10.65.255.7,Yes
rAWUSwas09,10.89.255.5,Yes
rAWUSwas01,10.89.255.4,Yes
rAWUSlkw09,10.81.255.173,Yes
rAWUSird09,10.50.255.53,Yes
rAWUSlrg09,10.69.255.9,Yes
rAWUSird01,10.50.255.54,Yes
rAWUSlrg01,10.69.255.1,Yes
rAWUSmth01,10.49.255.4,Yes
rAWUSlkw01,10.81.255.172,Yes
rAWUSchg01,10.46.255.2,Yes
rAWUSmid01,10.84.255.3,Yes
rAWUSchg09,10.46.255.3,Yes
rAWUSmke02,10.45.255.162,Yes
rAWUSmid02,10.84.255.4,Yes
rAWUStls01,10.81.255.226,Yes
rAWUStls09,10.81.255.227,Yes
rAWCArho09,10.45.255.195,Yes
rAWCAmsc01,10.84.255.48,Yes
rAWCAmsc09,10.84.255.49,Yes
rAWUSsap01,10.79.255.161,Yes
rAWUSsap09,10.79.255.165,Yes
rAWCAmis01,10.44.255.16,Yes
rAWCAlvl09,10.84.255.72,Yes
rAWCAmis09,10.44.255.11,Yes
rAWUSbir01,10.79.255.192,Yes
rAWUSbir09,10.79.255.193,Yes
rAWUSmut01,10.46.255.6,Yes
rAWUSmut02,10.46.255.7,Yes
rAWCAmsa01,10.45.255.192,Yes
rAWCAmsa09,10.45.255.193,Yes
rDWMXcue09,10.55.255.70,Yes
rAWUSope09,10.84.255.134,Yes
rAWUSope01,10.84.255.129,Yes
rCWUSchi21,10.134.255.21,Yes
rDWMXcue01,10.55.255.69,Yes
rCWUSchi22,10.134.255.22,Yes
rAWUShya01,10.89.255.13,Yes
rAWUShya09,10.89.255.14,Yes
rVLUSrlc01,10.4.252.6,Yes
rIWUSchi03,192.168.255.223,Yes
rIWUSchi04,192.168.255.224,Yes
rAWUScle01,10.46.255.42,Yes
rVLUSchi33,10.134.255.33,Yes
rVLUSchi31,10.134.255.31,Yes
rVLUSchi32,10.134.255.32,Yes
rAWUSmar02,10.48.255.128,Yes
rAWECqui09,10.66.255.3,Yes
rAWCOboo01,10.59.255.201,Yes
rAWCObok01,10.59.255.22,Yes
rAWCOcco01,10.59.255.225,Yes
rAWCObgt01,10.59.255.226,Yes
rAWCOsch01,10.59.255.139,Yes
rAWCOcuu01,10.59.255.44,Yes
rAWCOcuc01,10.59.255.41,Yes
rAWCOcaj01,10.59.255.23,Yes
rAWCObab01,10.59.255.207,Yes
rAWCObar01,10.59.255.12,Yes
rAWCOtun01,10.59.255.63,Yes
rAWCOboi01,10.59.255.17,Yes
rAWCOgir01,10.59.255.43,Yes
rAWCOcas01,10.59.255.47,Yes
rAWCOvil01,10.59.255.65,Yes
rAWCOpas01,10.59.255.56,Yes
rAWCOsan01,10.59.255.60,Yes
rAWCOcar01,10.59.255.38,Yes
rAWCOdui01,10.59.255.184,Yes
rAWUScle09,10.46.255.43,Yes
rAWMXatl99,10.55.255.174,Yes
rAWCOpop01,10.59.255.58,Yes
rAWCOsog01,10.59.255.61,Yes
rAWCOmon01,10.59.255.34,Yes
rAWCOcao01,10.59.255.8,Yes
rAWCOsin01,10.59.255.234,Yes
rAWCOcal03,10.59.255.7,Yes
rAWCOrio01,10.59.255.13,Yes
rAWCOapa01,10.59.255.230,Yes
rAWCOpal01,10.59.255.37,Yes
rAWCObug01,10.59.255.28,Yes
rAWBRbel01,10.70.255.61,Yes
rAWBRbel09,10.70.255.62,Yes
rAWBRjdi01,10.70.255.20,Yes
rAWBRjdi02,10.70.255.21,Yes
rAWBRsrr09,10.70.255.142,Yes
rAWBRsrr01,10.70.255.141,Yes
rAWUSmth09,10.49.255.9,Yes
rAWUSwkg01,10.49.255.71,Yes
rAWUSwkg09,10.49.255.79,Yes
rAWBRcrc01,10.70.255.151,Yes
rAWGTmaz01,10.67.255.107,Yes
rAWECamb01,10.66.255.80,Yes
rAWBRcrc09,10.70.255.152,Yes
rIWUSchi01,192.168.255.221,Yes
rIWUSchi02,192.168.255.222,Yes
rIWUSchi05,192.168.255.225,Yes
rAWDRscr09,10.62.255.75,Yes
rAWBRvit01,10.70.255.31,Yes
rAWBRrio01,10.70.255.51,Yes
rIWUSash01,192.168.255.231,Yes
rCWUSash21,10.144.255.21,Yes
rCWUSash25,10.144.255.25,Yes
rIWUSash03,192.168.255.233,Yes
rAWUSblo01,10.24.255.1,Yes
rAWUSblo09,10.24.255.9,Yes
rAWUSsdg01,10.50.255.1,Yes
rAWBRvit09,10.70.255.32,Yes
rAWCOcap01,10.58.255.140,Yes
rAWCOcap09,10.58.255.142,Yes
rAWECgub09,10.66.255.64,Yes
rAWBRrio09,10.70.255.52,Yes
rAWBRspl01,10.70.255.17,Yes
rAWECcue02,10.66.255.78,Yes
rAWMXsil09,10.55.255.83,Yes
rAWECamb09,10.66.255.68,Yes
rAWMXvil01,10.55.255.58,Yes
rAWMXvil02,10.55.255.59,Yes
rAWMXsil01,10.55.255.82,Yes
rAWECqui01,10.66.255.2,Yes
rAWECcue01,10.66.255.60,Yes
rAWGTgtm09,10.67.255.56,Yes
rAWUSsdg09,10.50.5.9,Yes
rAWGTnap01,10.67.255.31,Yes
rAWGTnap09,10.67.255.32,Yes
rAWGTgtm01,10.67.255.55,Yes
rAWGTgum09,10.67.255.48,Yes
rAWUSded09,10.136.232.9,Yes
rAWUSyha09,10.21.255.2,Yes
rAWUSyha01,10.21.255.1,Yes
rAWGTesc01,10.67.255.97,Yes
rAWGTret01,10.67.255.117,Yes
rAWGTret02,10.67.255.118,Yes
rAWUSded01,10.136.232.8,Yes
rAWGTesc02,10.67.255.98,Yes
rAWGTmaz02,10.67.255.108,Yes
rAWECquc99,10.66.255.22,Yes
rAWUSrlc09,10.2.255.9,Yes
rAWUSrlc01,10.2.255.3,Yes
rAWBRspl02,10.70.255.101,Yes
rAWCObgc09,10.58.255.214,Yes
rAWCObgc01,10.58.255.209,Yes
rAWUSply09,10.81.255.2,Yes
rAWBRcbr09,10.70.255.162,Yes
rAWMXzap01,10.55.255.176,Yes
rAWCObga01,10.59.255.240,Yes
rAWESyec01,10.127.255.1,Yes
rAWESyec02,10.127.255.2,Yes
rAWCOare01,10.59.255.219,Yes
rAWCNsuh01,10.35.255.216,Yes
rAWBRcbr01,10.70.255.161,Yes
rAWCOvla01,10.59.255.11,Yes
rAWCNsuh09,10.35.255.217,Yes
rAWJPmig09,10.33.255.137,Yes
rAWJPmig01,10.33.255.136,Yes
rAWINamd01,10.40.255.8,Yes
rAWAUbru01,10.36.255.138,Yes
rAWAUbru09,10.36.255.139,Yes
rAWAUcan09,10.36.255.155,Yes
rAWCNshb01,10.35.255.30,Yes
rAWAUcan01,10.36.255.154,Yes
rAWCNshb09,10.35.255.31,Yes
rAWNZauc01,10.37.255.74,Yes
rAWNZauc09,10.37.255.75,Yes
rAWINbng01,10.38.255.200,Yes
rAWINbng09,10.38.255.201,Yes
rAWINbgl01,10.40.255.134,Yes
rAWINbgl09,10.40.255.135,Yes
rAWMYkua01,10.38.255.82,Yes
rAWTHbag01,10.34.255.94,Yes
rAWCNszh01,10.35.255.147,Yes
rAWPHcan01,10.34.255.98,Yes
rAWPHcan09,10.34.255.99,Yes
rAWCNbei09,10.35.255.75,Yes
rAWCNbei01,10.35.255.74,Yes
rAWCNhok09,10.38.255.51,Yes
rAWINgur09,10.40.255.231,Yes
rAWINgur01,10.40.255.230,Yes
rAWCNgag01,10.35.255.170,Yes
rAWAUacr01,10.36.255.122,Yes
rAWCNgag09,10.35.255.171,Yes
rAWAUsyd09,10.37.255.147,Yes
rAWAUsyd01,10.37.255.146,Yes
rAWAUkur09,10.36.255.3,Yes
rAWAUcoo01,10.36.255.194,Yes
rAWAUcoo09,10.36.255.195,Yes
rAWKRyog01,10.39.255.84,Yes
rAWAUacr09,10.36.255.123,Yes
rAWAUkur01,10.36.255.2,Yes
rAWAUglh01,10.37.255.42,Yes
rAWCNsuz09,10.35.255.51,Yes
rAWCNsuz01,10.35.255.50,Yes
rCWCNgua01,10.35.255.122,Yes
rAWSGwoo01,10.34.255.6,Yes
rAWSGwoo09,10.34.255.9,Yes
rAWSGsis01,10.39.255.64,Yes
rAWAUolt01,10.36.255.25,Yes
rAWSGsin01,10.34.255.42,Yes
rAWNZcha01,10.37.255.94,Yes
rAWVNhoc09,10.34.255.210,Yes
rAWINcls01,10.40.255.50,Yes
rAWSGsin09,10.34.255.43,Yes
rAWTHamt01,10.38.255.222,Yes
rAWINcls09,10.40.255.51,Yes
rCWCNgua02,10.35.255.123,Yes
rAWTHamt09,10.38.255.223,Yes
rAWVNhoc01,10.34.255.209,Yes
rAWJPhro01,10.32.255.228,Yes
rAWJPtky01,10.32.255.12,Yes
rAWJPtky02,10.32.255.13,Yes
rAWKRgwa01,10.39.255.54,Yes
rAWTHraj01,10.34.255.132,Yes
rAWCNhan01,10.35.255.194,Yes
rAWINchd01,10.38.255.30,Yes
rAWTWtap01,10.38.255.2,Yes
rAWJPcha01,10.32.255.101,Yes
rAWTWtac01,10.38.255.104,Yes
rAWTWkao01,10.38.255.110,Yes
rAWJPcha09,10.32.255.102,Yes
rAWCNtia01,10.35.255.90,Yes
rAWKRdaj01,10.39.255.44,Yes
rAWIDjaa01,10.38.255.97,Yes
rAWCNgun02,10.35.255.42,Yes
rAWCNtia09,10.35.255.91,Yes
rAWKRpus01,10.39.255.4,Yes
rAWKRdae01,10.39.255.14,Yes
rAWJPspa01,10.33.255.176,Yes
rIWSGsie03,192.168.255.48,Yes
rAWJPyao01,10.33.255.200,Yes
rAWKRsus01,10.34.255.106,Yes
rAWINbrc01,10.40.255.166,Yes
rAWINbrc09,10.40.255.167,Yes
rIWSGsie01,192.168.255.44,Yes
rAWCNkow01,10.38.255.24,Yes
rAWTWtpi09,10.34.255.21,Yes
rAWTWtpi01,10.34.255.20,Yes
rIWSGsie02,192.168.255.45,Yes
rCWSGsie21,10.160.255.21,Yes
rAWCNsha01,10.41.255.40,Yes
rAWAUolt09,10.36.255.26,Yes
rAWCNwuh01,10.35.255.114,Yes
rAWCNnan01,10.35.255.188,Yes
rAWTHray01,10.38.255.179,Yes
rAWJPhro09,10.32.255.229,Yes
rIWSGsie07,192.168.255.46,Yes
rAWKRgwa09,10.39.255.55,Yes
rCWSGsie22,10.160.255.22,Yes
rAWCNtib01,10.41.255.130,Yes
rAWVNhan01,10.38.255.188,Yes
rCWJPtok21,10.161.255.21,Yes
rAWCNhok01,10.38.255.50,Yes
rAWKRsus09,10.34.255.107,Yes
rIWJPtok01,192.168.255.251,Yes
rAWTHbag09,10.34.255.95,Yes
rCWJPtok25,10.161.255.25,Yes
rAWCNsuo01,10.41.255.142,Yes
rAWJPtoo01,10.32.255.4,Yes
rAWKRkwa01,10.39.255.34,Yes
rIWSGsie04,192.168.255.50,Yes
rAWCNguz01,10.41.255.15,Yes
