Hostname,IP_Adress,Interface,Description
,10.10.98.28,Authentication failure,Cant connect
,10.10.98.27,Authentication failure,Cant connect
rAWMXmer01,10.55.255.208,Fa0/0,
rAWMXmer01,10.55.255.208,Fa0/0.100,"Connection to sALMXmer01, VLAN 100"
rAWMXmer01,10.55.255.208,Fa0/0.101,"Connection to voice vlan, VLAN 101"
rAWMXmer01,10.55.255.208,Fa0/1,ro=wan|ty=mpls|ca=verizon|lm=NA|cid=C0126400|bw=6|bwu=6|vl=NA
rAWMXmer01,10.55.255.208,Se0/0/0:0,
rAWMXmer01,10.55.255.208,Se0/0/0:0.100,DISCO - Verizon MPLS VPN: Baxter; Site-Circuit: merida-yucatan-mex_w0w04709-1895628
rAWMXmer01,10.55.255.208,As0/2/0,
rAWMXmer01,10.55.255.208,AT0/3/0,
rAWMXmer01,10.55.255.208,AT0/3/0.1,
rAWMXmer01,10.55.255.208,In1/0,
rAWMXmer01,10.55.255.208,Vi1,
rAWMXmer01,10.55.255.208,Di1,Internet Bkp Telmex CID#+529999192428
rAWMXmer01,10.55.255.208,Lo0,
rAWMXmer01,10.55.255.208,Lo1,GRE Loopback
rAWMXzap01,10.55.255.176,Gi0/0/0,"[INFRA] Connected to sDLMXzap01, Gi3/0/3"
rAWMXzap01,10.55.255.176,Gi0/0/0.203,"Connected to sDLMXzap01, Gi3/0/3, VLAN203_Infra"
rAWMXzap01,10.55.255.176,Gi0/0/1,"[INFRA] Connected to sDLMXzap01, Te1/0/1"
rAWMXzap01,10.55.255.176,Gi0/0/1.201,"Connected to sDLMXzap01, Te1/0/1, VLAN201_Infra"
rALMXzap99,10.55.255.178,Gi0/0/0,"[INFRA] Connected to sDLMXzap01, Gi3/0/5"
rAWMXzap01,10.55.255.176,Gi0/0/2,ro=wan|ty=mpls|ca=verizon|lm=NA|cid=C3020335|bw=100|bwu=100|vl=NA
rALMXzap99,10.55.255.178,Gi0/0/0.203,"Connected to sDLMXzap01, Gi3/0/5 VLAN203_Infra"
rALMXzap99,10.55.255.178,Gi0/0/1,"[INFRA] Connected to sDLMXzap01, Te2/0/2"
rAWMXzap01,10.55.255.176,Tu0,GRE Tunnel for mcast to #0016 Deerfield (ded15)
1_Infra"
rALMXzap99,10.55.255.178,Gi0/0/1.203,
rALMXzap99,10.55.255.178,Gi0/0/2,ro=wan|ty=internet|ca=alestra|lm=NA|cid=1-1OJ60NV|bw=100|bwu=100|vl=NA
rALMXzap99,10.55.255.178,Gi0/0/3,Python test
